id,name,city,state,zip,address,latitude,longitude,rating,rating_count,phone,website,courts,type,free,indoor,notes
1,Palm Beach Gardens Tennis & Pickleball Center,Palm Beach Gardens,FL,33418,"5110 117th Ct N, Palm Beach Gardens, FL 33418",26.8470494,-80.1109099,4.6,196,+1 561-630-1180,http://www.pbgfl.com/tennis,30,outdoor,false,false,30 pickleball courts + 50 tennis courts
2,City Pickleball WPB,West Palm Beach,FL,33401,"1016 Clare Ave, West Palm Beach, FL 33401",26.7019091,-80.0623109,4.2,5,+1 561-223-2042,,3,indoor,false,true,Indoor courts with full bar and restaurant
3,Lake Lytal Park,West Palm Beach,FL,33406,"3645 Lake Lytal Park, West Palm Beach, FL 33406",26.6750645,-80.0994303,4.5,731,+1 561-966-6600,http://discover.pbcgov.org/parks/Locations/Lake-Lytal.aspx,,outdoor,true,false,Public park with pickleball courts
4,Replay Club,Boynton Beach,FL,33426,"6600 High Ridge Rd, Boynton Beach, FL 33426",26.5586193,-80.0746803,4.8,97,+1 561-484-7287,http://replayclub.com/,,indoor/outdoor,false,true,Pickleball + padel + gym + bar & food
5,Caloosa Park Pickleball Courts,Boynton Beach,FL,33426,"1300 SW 35th Ave, Boynton Beach, FL 33426",26.4955375,-80.0822344,4.7,43,,,8,outdoor,true,false,8 free outdoor courts - friendly vibe - all levels
6,Delray Beach Pickleball Courts,Delray Beach,FL,33444,"201 W Atlantic Ave, Delray Beach, FL 33444",26.4638338,-80.0754525,4.0,20,+1 561-243-7360,https://www.delraytennis.com/programs/pickleball/,8,outdoor,false,false,8 courts - open play - high-level competition
7,Patch Reef Pickleball Center,Boca Raton,FL,33431,"2000 Yamato Rd, Boca Raton, FL 33431",26.3888417,-80.1277076,3.3,7,+1 561-367-7079,https://mybocapatchreeftennis.com/,18,covered outdoor,false,false,18 covered courts by skill level. Playbypoint app
8,Pickleball Courts (Boca West),Boca Raton,FL,33498,"Boca Raton, FL 33498",26.3782491,-80.2224747,4.7,25,,,6,outdoor,true,false,6 free outdoor courts - beginners and advanced split
9,Hillsboro El Rio Park - Pickleball,Boca Raton,FL,33486,"Boca Raton, FL 33486",26.3291875,-80.0942969,4.5,11,,,,,outdoor,true,false,Clean family-friendly park. Great 3.5+ vibe
10,Dixson Pickleball Club,Deerfield Beach,FL,33442,"1700 S Powerline Rd Bay E, Deerfield Beach, FL 33442",26.2928315,-80.1517242,5.0,46,+1 754-200-1394,https://www.dixsonclub.com/,,indoor,false,true,Indoor AC courts. Clinics leagues & open play
11,Diadem Pickleball Complex,Coconut Creek,FL,33066,"1000 Coconut Creek Blvd, Coconut Creek, FL 33066",26.2403441,-80.1718628,4.7,234,+1 954-708-1566,https://www.diadempickleballcomplex.com/,,indoor,false,true,Premium indoor AC facility. Open play & clinics
12,Public Pickleball Courts (Pompano),Pompano Beach,FL,33062,"955 N Federal Hwy, Pompano Beach, FL 33062",26.242293,-80.1028073,4.7,71,+1 954-881-4448,,12,outdoor,true,false,12 free public courts. Open 5AM-10PM
13,Pompano Community Park,Pompano Beach,FL,33060,"1660 NE 10th St, Pompano Beach, FL 33060",26.2403303,-80.1058665,4.6,2400,+1 954-786-4600,https://parks.pompanobeachfl.gov/parks/park-map-and-list/pompano-beach-community-park,24,outdoor,true,false,24 courts! Organized paddle-up system
14,Pickleball Courts at Holiday Park,Fort Lauderdale,FL,33304,"1150 G. Harold Martin Dr, Fort Lauderdale, FL 33304",26.1334101,-80.1329654,4.7,49,+1 954-881-4448,https://pickleballfortlauderdale.com/,6,outdoor,true,false,6 courts - King of Court format
15,The FORT Pickleball,Fort Lauderdale,FL,33315,"891 SW 34th St, Fort Lauderdale, FL 33315",26.0817592,-80.1510102,4.7,272,+1 954-222-1965,https://playthefort.com/,40,outdoor,false,false,40 courts! Bar + food. $25 open play
16,Hollywood Pickleball Courts,Hollywood,FL,33021,"850 Knights Rd, Hollywood, FL 33021",26.0175211,-80.1689798,4.5,81,+1 917-301-8309,http://www.goodtimepickleball.com/,9,outdoor,true,false,9 courts split by skill level. Dogs welcome
17,Golden Isles Tennis Center,Hallandale Beach,FL,33009,"600 Blue Heron Dr, Hallandale Beach, FL 33009",25.9827295,-80.1336452,4.5,150,+1 954-534-9547,http://www.cohb.org/Tennis,,outdoor,false,false,Pickleball + tennis + kids playground
18,The Lab Pickleball,North Miami,FL,33168,"1255 NW 135th St, North Miami, FL 33168",25.898494,-80.2219904,4.7,24,+1 786-665-2618,https://www.thelabpb.com/,8,outdoor,false,false,8 courts - 4.0+ competitive play
19,Dinko Pickleball Complex Miami,Miami,FL,33138,"6301 NE 4th Ave, Miami, FL 33138",25.8338749,-80.1884655,4.8,66,+1 786-409-7828,http://www.dinkocomplex.com/,4,indoor,false,true,Indoor AC courts. Welcoming community
20,Miami Beach Pickleball Courts,Miami Beach,FL,33140,"2301 Alton Rd, Miami Beach, FL 33140",25.8020763,-80.1378048,4.7,61,,,,,outdoor,true,false,Free outdoor courts. Open until midnight
21,Bryan Park,Miami,FL,33145,"2301 SW 13th St, Miami, FL 33145",25.7608041,-80.2326607,4.6,428,+1 305-533-3501,https://www.miami.gov/Parks-Public-Places/Parks-Directory/Bryan-Park,4,outdoor,true,false,4 dedicated courts near Coconut Grove
22,Dink Club Pickleball Courts,Miami (Kendall),FL,33176,"10855 SW 112nd Ave, Miami, FL 33176",25.6670085,-80.372198,5.0,28,+1 305-209-3133,https://dinkclub.com/,,outdoor,false,false,Brand new courts. DUPR events & tournaments
